Fund,Name,Ticker,Identifier,SEDOL,Weight,Sector,SharesHeld,LocalCurrency
SPY,SouthernCompany,SO,84258710,2829601,0.1776,Utilities,10936166,USD
SPY,IllinoisToolWorksInc.,ITW,45230810,2457552,0.176921,Industrials,2981994,USD
SPY,AutodeskInc.,ADSK,5276910,2065159,0.176713,InformationTechnology,2277826,USD
SPY,FiservInc.,FISV,33773810,2342034,0.17646,InformationTechnology,6166140,USD
SPY,AirProductsandChemicalsInc.,APD,915810,2011602,0.174696,Materials,2290034,USD
SPY,AnalogDevicesInc.,ADI,3265410,2032067,0.170739,InformationTechnology,3820892,USD
SPY,BostonScientificCorporation,BSX,10113710,2113434,0.168135,HealthCare,14679946,USD
SPY,RegeneronPharmaceuticalsInc.,REGN,75886F10,2730190,0.165521,HealthCare,1090508,USD
SPY,EatonCorp.Plc,ETN,G2918310,B8KQN82,0.163577,Industrials,4123785,USD
SPY,DominionEnergyInc,D,25746U10,2542049,0.16323,Utilities,8338363,USD
SPY,Moody'sCorporation,MCO,61536910,2252058,0.160833,Financials,1666745,USD
SPY,FordMotorCompany,F,34537086,2615468,0.159432,ConsumerDiscretionary,40481210,USD
SPY,EmersonElectricCo.,EMR,29101110,2313405,0.159107,Industrials,6214893,USD
SPY,ProgressiveCorporation,PGR,74331510,2705024,0.158274,Financials,6062250,USD
SPY,HumanaInc.,HUM,44485910,2445063,0.157822,HealthCare,1334767,USD
SPY,GlobalPaymentsInc.,GPN,37940X10,2712013,0.155265,InformationTechnology,3058116,USD
SPY,HCAHealthcareInc,HCA,40412C10,B4MGBG6,0.153616,HealthCare,2745393,USD
SPY,NXPSemiconductorsNV,NXPI,N6596X10,B505PN7,0.152964,InformationTechnology,2868760,USD
SPY,NorthropGrummanCorporation,NOC,66680710,2648806,0.150689,Industrials,1551806,USD
SPY,WasteManagementInc.,WM,94106L10,2937667,0.150362,Industrials,4032305,USD
SPY,IDEXXLaboratoriesInc.,IDXX,45168D10,2459202,0.149327,HealthCare,884765,USD
SPY,TwitterInc.,TWTR,90184L10,BFLR866,0.148733,CommunicationServices,8267094,USD
SPY,Freeport-McMoRanInc.,FCX,35671D85,2352118,0.147907,Materials,15096916,USD
SPY,AonPlcClassA,AON,G0403H10,BLP1HW5,0.14757,Financials,2340667,USD
SPY,BiogenInc.,BIIB,09062X10,2455965,0.143866,HealthCare,1560944,USD
SPY,VertexPharmaceuticalsIncorporated,VRTX,92532F10,2931034,0.143818,HealthCare,2692579,USD
SPY,EcolabInc.,ECL,27886510,2304227,0.142346,Materials,2576203,USD
SPY,DollarGeneralCorporation,DG,25667710,B5B1S13,0.140881,ConsumerDiscretionary,2448666,USD
SPY,NewmontCorporation,NEM,65163910,2636607,0.137648,Materials,8289944,USD
SPY,EOGResourcesInc.,EOG,26875P10,2318024,0.137302,Energy,6044847,USD
SPY,JohnsonControlsInternationalplc,JCI,G5150210,BY7QL61,0.135978,Industrials,7459552,USD
SPY,RoperTechnologiesInc.,ROP,77669610,2749602,0.135083,Industrials,1087056,USD
SPY,KLACorporation,KLAC,48248010,2480138,0.131381,InformationTechnology,1595498,USD
SPY,DowInc.,DOW,26055710,BHXCF84,0.129451,Materials,7717726,USD
SPY,IQVIAHoldingsInc,IQV,46266C10,BDR73G1,0.129347,HealthCare,1981384,USD
SPY,SchlumbergerNV,SLB,80685710,2779201,0.126498,Energy,14481257,USD
